Product Name,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Quantity Sold (liters/kg),Price per Unit (sold),Quantity in Stock (liters/kg),Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Expire,Sales_Velocity,Quantity_Abble_Sell_Before_Expire,Quantity_Lost,Stock_Efficiency,Value_Lost,Revenue_Before_Losses
Butter,10.33,73.98,764.2134000000001,28,2,92.47500000000001,8,2022,7,12,1,3,8,20,0,0.25,5.0,3.0,0.6776379477250726,221.94,36.99000000000001
Ice Cream,131.65,56.27,7407.945500000001,22,11,70.3375,120,2020,3,5,3,1,11,11,0,1.0,11.0,109.0,0.16710976072920622,6133.43,154.74250000000004
Butter,281.3,11.45,3220.885,31,135,14.3125,146,2019,4,6,5,2,31,0,1,4.354838709677419,0.0,146.0,0.47991468183434055,1671.6999999999998,386.4375000000001
Cheese,705.08,57.27,40379.9316,71,470,71.5875,235,2020,9,24,3,3,31,40,0,15.161290322580646,606.4516129032259,0.0,1.5267084769149966,0.0,6729.225000000001
Lassi,763.48,12.08,9222.8384,18,565,15.1,198,2022,10,11,1,4,18,0,1,31.38888888888889,0.0,198.0,0.7400324828417247,2391.84,1706.2999999999997
Paneer,47.86,29.78,1425.2708,11,16,37.225,31,2019,4,3,2,2,11,0,1,1.4545454545454546,0.0,31.0,0.3343083994985374,923.1800000000001,119.12
Curd,796.65,34.51,27492.3915,5,7,43.137499999999996,789,2020,1,3,4,1,5,0,1,1.4,0.0,789.0,0.00878679470281805,27228.39,60.392499999999984
Lassi,548.72,72.39,39721.840800000005,14,257,90.4875,291,2022,6,26,6,2,14,0,1,18.357142857142858,0.0,291.0,0.4683627350925791,21065.49,4651.057499999999
Lassi,170.46,86.19,14691.9474,15,151,107.7375,19,2019,4,16,1,2,15,0,1,10.066666666666666,0.0,19.0,0.8858383198404317,1637.61,3253.6725
Cheese,635.2,71.46,45391.392,55,143,89.32499999999999,492,2021,12,11,5,4,12,43,0,11.916666666666666,512.4166666666666,0.0,1.0318272460117548,0.0,2554.6949999999993
Ghee,497.09,42.63,21190.9467,115,240,53.2875,257,2022,1,10,0,1,50,65,0,4.8,312.0,0.0,1.1104628940433323,0.0,2557.7999999999997
Curd,785.69,65.28,51289.8432,6,66,81.6,719,2021,2,24,2,1,6,0,1,11.0,0.0,719.0,0.08400259644389008,46936.32,1077.1199999999994
Yogurt,28.8,88.97,2562.336,23,28,111.2125,0,2022,3,12,5,1,23,0,0,1.2173913043478262,0.0,0.0,0.9722222222222222,0.0,622.7900000000002
Yogurt,399.55,53.11,21220.1005,24,229,66.3875,170,2021,3,25,3,1,24,0,1,9.541666666666666,0.0,170.0,0.5731447878863721,9028.7,3040.5475000000006
